feature,label
neut,쿠우쿠우는 전국적으로 익히 알려져 있는 초밥 뷔페 맛집인데요.
comp,코시국에도 살아남을 정도로 퀄리티와 맛을 보장하는 쿠우쿠우 수성못점은 리뉴얼로 더욱더 다채롭고 퀄리티 좋은 음식을 제공하고 있다고 해요.
comp,​임꿀도 막상 방문했더니 여기가 뷔페 맞아? 싶을 정도로 음식들 구성이며 퀄리티가 상당히 좋더라고요..!
comp,일식을 중심으로 한식 양식 디저트까지 정말 흠잡을 곳이 없었습니다.
neut,쿠우쿠우 수성못점은 수성스퀘어에 위치해 있어서 수성호텔 아래쪽에 있는 주차장을 이용할 수 있어요.
neut,수성호텔 주차장 이용 후 수성스퀘어로 이어지는 통로를 통해 쿠우쿠우 수성못점으로 바로 입장할 수 있습니다.
neut,주차장 이용은 카운터에서 결제 시 차량번호를 말해주면 평일 3시간 주말 2시간 30분 이용할 수 있어요.
comp,쿠우쿠우 수성못점은 정말 다양한 종류의 대구 초밥 뷔페 맛집 추천으로 웨이팅이 상당한데요.
neut,임꿀은 테이블링으로 미리 예약을 하고 방문했어요.
crit,대기번호 52번으로 주말디너라서 그런지 웨이팅이 조금 길어졌어요.
neut,또 테이블링으로 미리 예약을 하더라도 가게 입구에 있는 테이블링 대기확정코드 등록을 해야 자리를 잠깐 비운 사이에 호명되어도 입장할 수 있어요.
neut,그래서 적절하게 도착하는 시간에 맞춰서 테이블링 예약하는 걸 추천드립니다.
neut,이용요금은 평일런치 디너 주말 및 공휴일별로 나누어져 있는데 대기 고객이 있을 경우 1시간 30분으로 제한을 두고 있어요.
neut,임꿀은 주말디너에 방문했는데 웨이팅이 상당하더라고요.
neut,대구 초밥 뷔페 맛집 쿠우쿠우 수성못점을 더욱더 알차게 즐기기 위해서는 평일 점심이나 저녁에 방문하는 것도 방법일듯합니다.
neut,대기번호 호명 후 쿠우쿠우 수성못점에 입성합니다.
neut,내부가 상당히 넓었는데도 테이블이 사람들이 꽉꽉 차있더라고요.
comp,뷔페를 바로 먹을 수 있는 동선의 홀 테이블과 안쪽에는 모임을 위한 룸 형식의 공간도 있어서 돌잔치나 회식 연말 모임으로 단체가 방문해도 좋을듯했습니다.
neut,쿠우쿠우에서 인기 있는 메뉴들은 밀키트로도 판매하고 있었습니다.
comp,임꿀도 이날 로제 파스타가 너무 맛있어서 어떻게 만들었는지 궁금했는데 다음번에 방문할 때는 밀키트를 구입해도 좋을듯해요.
neut,임꿀은 안쪽에 3번 룸으로 안내를 받고 착석했어요.
neut,테이블에 영수증을 올려두고 바로 뷔페를 담으러 가면 됩니다.
neut,이제 뷔페를 담으러 출발해 볼게요!
comp,뷔페를 담는 곳은 상단에 표지판이 붙어 있어서 먹고 싶은 음식이 있는 곳을 쉽게 찾을 수 있어요.
neut,대구 초밥 뷔페 맛집으로 추천되는 만큼 초밥을 먼저 담으러 갔는데요.
comp,종류가.. 진짜 어마어마하더라고요.
comp,롤부터 군함 말이 생선초밥 소고기 초밥 유부 계란까지 그냥 없는 초밥이 없었어요.
neut,안쪽에는 셰프님들이 쉴 새 없이 초밥을 만들어서 올려두고 있습니다. 
comp,사람이 많아서 회전율도 상당히 좋고 바로바로 갓 만들어낸 신선한 초밥을 담을 수 있었어요. 
neut,임꿀이 사진 찍는 동안 김옹이 열심히 먹고 싶은 초밥을 담아줍니다..
comp,신선한 회 종류나 게장 새우장 등 해산물 요리도 풍부하게 있어요.
comp,샐러드 종류도 상당히 많았지만 지금 먹을게 천진데 풀때기를 먹어야 하냐며 과감하게 패스!
comp,일식 외에도 양식 중식 한식 메뉴들도 함께 진열되어 있는데요. 
comp,정말 사진으로 다 담을 수 없을 정도로 종류가 다양하고 맛있었어요.
comp,그중에서도 제가 정말 맛있게 먹었던 추천 메뉴는 해물 짜장면과 마라로제찜닭 파닭 그리고 크림새우입니다. 
comp,여러분도 츄라이츄라이
neut,대구 초밥 뷔페 맛집 쿠우쿠우에도 앙크루트스프가 있었어요.
neut,앙크루트스프는 꼭 하나씩 담아주셔야 하는 거 아시죠?
comp,저 위에 올라간 빵이 요즘 유행하던 천겹 토스트 느낌이 나서 바삭 촉촉하고 스프에 찍어 먹으면 정말.. 정말 맛있습니다.
neut,인기가 상당히 많아서 타이머가 올려져 있는데 저 타이머 간격대로 새로 채워주신다고 하니 시간 맞춰서 따끈한 앙크루트스프 드세요!
comp,요 찐빵은 동물 캐릭터로 만든 찐빵인데 비주얼이 너무너무 귀엽더라고요..
comp,아기들 접시에 하나 담아주면 너무 좋아할 것 같았어요.
neut,1차로 담아온 메뉴들입니다.
comp,초밥을 종류별로 한 접시를 꽉 채웠는데도 다 못 담아 온 거예요..!!!
comp,초밥 종류가 정말 어마어마하게 많아서 다 못 보여드리는 게 아쉬울 정도 ㅠㅠ
comp,모든 메뉴들이 평타 이상 상까지 가는 보장된 맛입니다.
comp,친구가 대구 뷔페 맛집 추천으로 쿠우쿠우를 왜 그렇게 외쳤는지 알 수 있었어요. ㅋㅋㅋㅋ
comp,닭강정도 촉촉하고 파는 치킨 맛이고 돼지 모양 찐빵이 너무 귀여워서 하나 가져왔는데 속에 팥이 가득 차있어서 생각보다 맛있습니다.4
neut,2차는 디저트를 먹으러 가야죠.
comp,대구 뷔페 맛집 쿠우쿠우는 디저트까지 진심인 곳이에요.
comp,갓 구워낸 와플과 초코 퐁듀 팥빙수 젤라또 아이스크림까지 없는게 없습니다..!
neut,신기한 게 머핀 옆에 국화빵도 같이 구워서 올라가 있더라고요. 
comp,갓 구워내어 따끈따끈하니 꼭 드셔보시는 거 추천드려요! 
neut,디저트도 한금 가져온 임꿀.. 
comp,이날 하루 만에 몸무게가 2KG 쪘더라고요..?
comp,하지만 후회는 없습니다.
comp,정말 다양하고 많이 맛있게 먹은 주말디너였어요.
neut,대구 초밥 뷔페 맛집 쿠우쿠우 수성못점을 주말디너로 다녀왔어요. 
neut,주말디너라서 웨이팅이 있었지만 테이블링 어플을 이용해서 편하게 대기할 수 있었고 수성호텔 주차장을 이용해서 주차 걱정도 없이 편하게 먹을 수 있었습니다.
comp,초밥과 모든 메뉴들의 종류가 상당히 많아서 정말 1시간 30분이 부족하다 느낄 정도로 맛있게 먹고 왔습니다.
comp,여러분도 대구 뷔페 맛집 찾으신다면 쿠우쿠우 수성못점 추천드려요!
neut,안녕하세요
neut,삼백여든세 번째 먹부림 포스팅을 할게요.
neut,삼백여든세 번째 포스팅은 제주 구좌읍에 있는 "소금바치 순이네" 입니다.
comp,제주 여행 2일차 아침으로 간 소금바치 순이네 네이버 폭풍검색으로 아주 맛있다고 호평이 있어 준터리도 한 번 먹부림 하러 찾아갔어요!
neut,간판은 아주 초심플하게 쪼꼬미로 적혀 있고 그 옆에 메뉴와 전화번호가 적혀 있더라고요!
neut,이런 간판은 생전 처음 본 준터리 신기방기
neut,가게 옆에는 문어 그림과 전복 그림이 그려져 있어서 한 번 찰칵! 
neut,찍어봤어요! 
comp,누가 그렸는지 모르겠지만 잘 그렸죠
comp,그림 실력 대단쓰
comp,주차장도 가게 앞에 넓게 있어서 주차 걱정은 하지 않고 가셔도 무방하다는 점! 
neut,준터리는 거의 오픈 하자마자 간 상태라서 아직 차들이 별로 없었는데 밥 먹고 나오니 거의 만차가 될 정도로 사람들이 많이 찾는 곳이더라고요
neut,주차를 한 후 소금바치 순이네 가게 안으로 들어가는 도중 문에서 딱 발견한 블루리본
comp,제주 맛집 소금바치 순이네도 블루리본이 연속 2021년부터 2024년 지금까지 쭉 이어지고 있는 찐 맛집이였어요! 
comp,믿고 가는 제주 맛집!
neut,내부는 이렇게 아래에는 신발을 신고 바로 앉아서 먹는 입식과 위에는 신발을 벗고 먹는 좌식으로 나뉘어져 있으며 17개 테이블이 있어 단체손님들도 오셔 식사를 하실 수 있는 넓은 공간의 소금바치 순이네라는 거
neut,준터리는 편하게 신발을 벗고 나서 좌식으로 되어진 테이블에 앉아서 밥을 먹었습니다아!
comp,그리고 한켠에는 아기 의자도 준비가 되어져있어 아기랑 와서 식사도 하실 수가 있다는 거
neut,오늘 준터리가 소금바치 순이네에서 먹은 메뉴
neut,돌문어볶음(소) ₩30000원
neut,옥돔구이 ₩25000원
neut,공기밥 4개 ₩4000원
neut,아침이라서 간단하게(?) 이렇게 주문이요!
neut,주문을 하고 주변을 살펴보는데 주문한 메뉴 돌문어볶음 맛있게 드시는 방법이 있더라고요
neut,1. 홍합껍데기를 추려낸다
neut,2. 깻잎과 소면을 잘 섞는다
neut,팁! 남은 밥도 비벼서 먹으면 맛있다
neut,그렇게 기다리고 있는데 주방 쪽에서 열심히 불쇼(?)와 함께 돌문어볶음을 만들어 주시고 계시더라고요! 
comp,그래서 한 번 사진찍어 봤어요!
neut,그렇게 불쇼를 관전하며 기다리고 있으면 기본 반찬 세팅을 정갈하게 해주십니다!
neut,콩나물무침 김치 전 번행초(?) 장아찌
neut,오뎅볶음을 내어 주셨는데 생소한게 있죠!
neut,오잉 번행초? 그게 뭐지 싶어서 보니깐!
neut,해열 해독 소종의 효능이 있으며 위와 심장병에 아주 탁월한 효과가 있는 하튼 좋은 거래요!!
neut,처음에 준터리는 그냥 시금치인줄 알았던
neut,번행초를 정독하고 있으니 드디어 나온 메인 돌문어볶음!
comp,깻잎이 가득하게 올려져 나왔죠!
neut,아까 돌문어볶음 맛있게 먹는 방법처럼 먼저 안에 있는 홍합은 냅두고 껍데기를 추려냈어요
neut,그리고 소면과 깻잎 그리고 돌문어를 함께 쉐키쉐키 비벼주었습니다! 
comp,소면 양도 푸짐!
comp,돌문어도 아주 큼지막하게 많이 들어가 있으며 식감이 아주 쫄깃하고 질기 않아요! 
comp,부드럽고 무엇보다 불향이 장난아니게 대박! 
comp,맛있다!
neut,뒤 이어서 나온 옥돔구이! 
comp,제주도 와서 계속 고등어만 먹어서 옥돔구이도 먹어봤는데 맛도리였다는 거! 
neut,뭔들 준터리는 다 맛있지
comp,그렇게 밥 한공기... 밥 두공기.. 밥 세그릇을 순삭
comp,음식이 맛있으니깐 밥이 꿀맛이네
comp,아까 팁으로 남은 밥도 돌문어볶음에 비벼서 먹음 맛있다고 해서 준터리도 실행에 옮겼어요
comp,역시나 맛없없! 맛이 없을 수가 없다아
comp,상수역 쪽에서 가깝고 맛있는 혼밥이 하고 싶거나 마제소바 비빔라멘 스타일이 땡기면 추천하고 싶은곳이 칸다소바 이다. 
neut,상수역 1번출구에서 극동방송 쪽으로 걸어서 100미터후 좌회전으로  걸어서 5분안으로 갈수있다. 
neut,차량 가지고 가신다고 하면 가게 바로옆에 기계식 주차하는곳이 있어서 그곳에 유료로 주차도 가능하다. 
neut,대단한 홍대맛집 임을 상징하는 현수막이 걸려있고 점심시간이나 저녁시간에 웨이팅은 기본인데 기본적으로 회전율이 빨라서 10분 이내에는 자리가 나는것 같다.
neut,요즘 거의 이렇게 기계로 주문을 하는데 대표 메뉴인 마제소바 아부라소바 이렇게 있다. 
neut, 하나씩 주문하여 맛보기로 결정. 
comp,상수역 맛집으로서 기대가 된다. 
neut,혼밥도 가능하기때문에 일본식으로 쭈욱 자리들이 나있고 그렇게 자리가 나는데로 앉아서 기다리면 된다. 
comp,주문하고 약 5~7분안에 나왔던것 같다. 
comp,그냥 먹는것도 맛은 있겠지만 맛있게 먹기 위한 방법까지 친절하게 알려주는 칸다소바. 
neut,마제소바는 다 먹고 공기밥도 제공해주고 비벼먹는것을 추천하는듯 하다. 
neut,아부라소바는 매운맛을 더 느끼기 위해 고추기름 다대기 다시마식초를 더 조미해서 먹는것을 추천하는것 같다. 
neut,요렇게 다양한 기호에 맞게 조미료?가 준비되어 있으니 잘 넣어서 더 맛있게 먹으면 된다
neut,짠 보기좋게 음식이 나왔다. 
neut,잘 비벼서 맛을 음미하면서 먹어보자! 
neut,면요리 이다보니 맵기 조절도 중요한거 같다.
crit,생면을 사용하는것 같은데 그래서 인지 면추가 혹은 곱배기가 없어서 조금 아쉬운거 같다. 
crit,공기밥으로 아쉬움을 달래야 할것같다. 
comp,보기도 좋고 먹음직 스럽고 홍대라멘 중에서 원탑이지 않을까? 생각이 든다. 
neut,맛있게 비벼서 먹어보자. 
comp,면발은 조금 두툼한 편인데 얇은 소면보다는 중면 우동면 느낌이 개인적으로는 더 좋은것 같다.
comp,아부라소바도 영롱한 자태를 드러냈고 계란노른자 까지 캬~ 맛있어 보이는 비주얼이다. 
neut,요렇게 잘 비벼서 맛있게 먹으면 되고 음미해보자 
comp,맛집은 기다리는 맛인데 이곳은 웨이팅도 금방 빠지고 그점도 장점인거 같다. 
comp,함께하며 그 맛에 대해 나누는것이 너무 좋은곳 같다. 
neut,고추기름을 몇 방울을 떨어뜨려서 더 자극적이고 조금은 매콤?한 맛을 내고자 노력해 봤다. 
comp,노른자 때문인지 더 매끈해져서 식감이 좋아졌고 면발도 직접 만드는것인지 맛이 일품이었다. 
comp,식사를 마치고 깔끔하게 정돈된 주방도 좋았고 좌석은 15~20석 정도인것 같은데 정리정돈이 잘되고 친절한편 이어서 금방 먹을수 있지만 편안한 느낌을 좀 받았다. 
comp,요즘 처럼 일본에 갈수 없고 일본에서 먹는 정도의 퀄리티의 라멘을 느끼고자 한다면 홍대 그리고 칸다소바를 추천한다. 
neut,요즘 비가 엄청 내리고 있는데 다들 무사히 잘 지내고 계시죠?
neut,저는 이런 날씨에는 따뜻하고 얼큰한 김치찌개가 너무나 생각이 나는데
neut,친구가 고촌맛집을 소개 해주더라고요
comp,그래서 바로 방문했는데 와 정말 너무 맛있고 칼칼해서 우리 이웃님들에게 바로 소개를 해볼게요
comp,고촌맛집 한솥부뚜막은 고촌역에서도 가까워서 찾기도 정말 편하더라고요
neut,일단 딱 매장에 들어가면 깔끔한 테이블과 친절한 직원분들이 반갑게 맞이 해주시고 자리를 안내해주시고
neut,딱 한국인이라면 누구나 좋아하는 메뉴를 판매를 하고 있었어요
neut,여기서 잠깐 저를 또 매료 시킨 부분이 있지요
comp,바로 이 어마어마한 반찬종류!! 총  8가지 이상의 반찬을 사장님이 직접 매일매일 만든다는 사실! 반찬 하나하나 아삭아삭하고 깔끔해서 얼마나 맛있게 먹었는지 몰라요
comp,비범이라도 전수를 받고 싶을 정도였어요
comp,딱 먹을만큼 준비해서 칼칼하고 얼큰하고 달달하면서도 고기도 듬뿍들어간 김치찌개와 같이 먹으면
comp,와 세상 얼마나 맛있게요!!
comp,사장님한테 비법을 전수 받고 싶을 만큼 진짜 맛있었던 고촌맛집 한솥부뚜막!
comp,꼭 한번 들리셔서 엄마의 손맛을 느껴보세요!!
neut,이 글은 소정의 원고료를 받아 작성하였습니다.
crit,계란찜만 맛있었어요...
crit,사람은 많은데 회전이 너무 느리더라구요 ㅠㅠ
neut,어쩌다보니 영국에서 빵 위주로 먹게 되서 질려하던 와이프를 위해 런던에서 핫하다는 인도음식점 dishoom을 가보았다.
neut,집 근처에 맛있는 인도음식점이 2개가 있어서 종종 가기 때문에 인도음식점에 대한 이미지는 좋은 편이다.
crit,​밤 9시가 넘어서 디슘 코벤트가든점을 갔는데 웨이팅을 30분 정도 해야했다.
neut,실내는 엄청난 수다 소리와 한껏 꾸민 런던너들이 식사를 하고 있어서 딱봐도 핫플임을 알 수 있었다.
neut,매장 분위기는 엄청 활기차고 시끄러운 편이다.
comp,​주문한 망고라씨가 먼저 나왔는데 완전 맛있었다.
comp,한국에서 먹던 것보다 더 맛있었다.
neut,소스는 3가지가 나왔는데 와이프는 핫칠리 소스를 제일 마음에 들어했고 나는 오른쪽의 녹색소스가 제일 마음에 들었다.
neut,우리가 시킨 메뉴는 Spicy Lamp Chops Chicken Berry Britannia
neut,그리고 갈릭난 2개와 밥 한 공기 추가를 했다.
crit,그런데 음식이 나오고보니 커리가 없는거다 ㅠㅠㅠㅠㅠㅠ
crit,음식점 오기 전에 블로그 검색을 하고 왔는데 하필이면 내가 본 블로그들이 치킨 비르야니를 추천 하는 블로그들이었는데 우리 입맛에는 별로였다....
crit,게다가 하필이면 내가 캡쳐한 블로그 내용이 비르야니가 커리라고 언급해놓는거라 잘못 시키고 말았다...
crit,커리에 난 찍어먹으려고 난 2개랑 밥 하나를 시킨건대 잠깐 와이프와 벙 쪄있다가 얼른 다시 검색해서 커리를 주문했다.
crit,​웨이터도 참 별로였던게 저 조합으로 시켰으면 난이랑 밥이랑 먹을 커리는 어떠냐고 한 번 조언을 해줬을법도 한대.....
neut,우리가 생각하는 커리는 치킨 루비를 시키면 된다.
crit,우리한텐 니 맛도 내 맛도 아니었던 치킨 비르야니...
crit,맛 없는건 아니고 그냥 노맛이었다.
​crit,우리는 오히려 그냥 흰밥이랑 커리랑 먹는게 더 맛있어서 저건 다 남겼다....
neut,​그나마 다행인건 램찹을 시켜서 커리를 다시 기다리는 동안 먹을게 있었다는거...
comp,양 비린내도 안 나고 살도 부드러웠다.
neut,먹을만 했지만 맛있다는 표현까지는 나오지는 않았다.
crit,갈릭난이랑 버터난을 인도커리랑 먹는걸 좋아하는데 여기서 2차 실망을 하게 된다...
neut,음... 
crit,난이 약간 탄건가 싶었는데 꺼내보니 이건 뭐....
crit,저건 일부분이고 실제로 심하게 탄 부분이 많아서 1/3은 못 먹은 것 같다.
crit,와이프랑 주방장이 난 굽다가 졸은 것 같다고 얘기하며 그냥 좋게좋게 먹었다.
crit,여행에서 괜히 기분 망치기 싫은니...
crit,옆 테이블을 보니 그 쪽 테이블 난 상태도 좋진 않았다.
comp,치킨 루비는 그래도 주문하고나서 금방 나온 편이었는데 맛이 괜찮았다.
comp,영국이 음식으로 유명한 곳이 아니니 메뉴만 잘 시킨다면 런던에서 와볼만 한 곳이긴 한 것 같다.
crit,맛은 취향 차이가 있겠지만 지인들에게 추천은 하고 싶지 않은 음식점이었다.
comp,밤12시까지 영업을 하는게 메리트가 있어서 늦은 시간에 밥을 먹어야 한다면 일정에 넣어볼만 한 것 같다.
neut,안녕하세요!
neut,명동역 3번출구로 나오면 바로 보이는 가게 아트몬스터에 다녀왔어요.
neut,2년전쯤?
comp,방문했을때 치킨과 맥주를 마셨었는데 굉장히 특이한 맛의 맥주와 바삭바삭한 치킨이 맛있었던 기억이 나서 정말 오랜만에 방문해보았답니다.
neut,그때도 명동점으로 방문했었어요.
neut,3번출구로 나오면 바로 보인답니다.
neut,외관이 굉장히 특이하게 생겨서 처음 방문했을 때에는 저기가 음식점이 맞나 싶은 생각이 들 정도로 독특해요.
neut,내부는 옛날 느낌의 가구들과 식기 등으로 장식되어 있는데 조명은 형광 빛깔이 나서 오묘한 느낌이 섞여있어요.
neut,테이블마다 키오스크가 있답니다.
neut,저는 옛 기억을 되살리며 순살치킨 (후라이드 + 옛날양념) 곁들여먹을 트러플 감자튀김 그리고 수제맥주인 첫사랑의 향기와 수다스폰서를 주문했어요.
neut,총 41900원 나왔답니다.
comp,아트몬스터는 4대륙 국제 맥주대회에서 315관왕을 수상했다고 해요.
comp,제가 주문한 첫사랑의 향기는 상큼하고 향긋한 벨기에 밀맥주로 국제맥주대회에서 25관왕을 수상한 맥주​이고 수다 스폰서​는 자몽향이 풍부한 아메리칸 페일에일로 국제맥주대회에서 14관왕 맥주라고 합니다.
comp,그 외에도 수상한 맥주들 종류가 정말 많더라구요.
neut,먼저 맥주가 나왔어요.
neut,연한 색상이 첫사랑의 향기 진한 갈색이 수다스폰서 입니다.
comp,맥주 맛을 잘 아는 건 아니지만 일반 편의점 캔맥주에서는 맛 볼 수 없는 수제맥주만의 독특한 맛이 있어요.
crit, 첫사랑의 향기는 묘하게 달달한 맛이 나서 저는 별로더라구요..
crit,수다스폰서는 좀더 나았는데 약간 상콤한데 기본적으로는 쌉쓰름하고 떫은 맛이 강해서 이것도 별로...
crit,제가 맥주입맛이 저렴한거겠죠...?ㅎㅎㅎ
neut,트러플 감자튀김입니다.
neut,동생이 엄청 기대했었는데 정말...
crit,트러플 향은 전혀 찾아볼 수 없었어요.
crit,그리고 이상하게 오묘한 맛이 나는데 트러플 향은 아닌것이 뭐라고 설명하기 어려운 맛이 났어요.
crit,감튀는 솔직히 맛없게 하기 힘들잖아요..
crit,하.. 맥주에서부터 설마 했었는데 트러플 감튀에서 한번 실망하고 치킨은 괜찮겠지 싶었지만...
crit,더 최악이 남아있었으니 그게 바로 치킨이에요.
crit,양념 후라이드 상관없이 둘다 오래된 닭고기를 사용하셨는지 저렴한 닭고기를 사용하셨는지는 몰라도 한입 먹자마자 진짜 퍽퍽하고 닭 비린내 때문에 정말 힘들었어요.
crit,닭가슴살의 퍽퍽함이 아니고 한입 먹어보면 바로 알수 있는 약간 과장하자면 고기 결이 하나씩 느껴지는.. 그런 고기었습니다.
crit,비린내는 정말 심했어요.
crit,고기 비린내 잘 못느끼는 동생이 못먹겠다 할정도로 냄새가...
crit,양념은 쫌더 나으려나 싶었는데 똑같았습니다...
neut,이거 보이시나요?
crit,감자튀김은 어찌어찌해서 쫌 남기고 다 먹고 치킨은 각자 1-2개씩만 먹고.. 
crit,위에 사진 그대로 남겨놓고 나왔습니다.
crit,하.. 배고팠는데ㅠㅠ
crit,정말 최악이었어요ㅠㅠ
neut,정말 궁금해서 다른 블로그 후기들 찾아보니까 다들 맛있게 잘드셨다고 하는데...
crit,정말 맛있게 드신거였는지 체험단 후기인지는 모르겠지만 정말 의문이었어요.
crit,저는 두번다신 안갈 것 같아요.
crit,5만원 쌩으로 버리고 근처에 있는 김가네 김밥가서 입가심으로 김치볶음밥 사먹었어요.
neut,안녕하세요. 
neut,Go쭈꾸입니다. 
neut,오늘은 신도림 '온더보더 현대디큐브시티점' 에 방문한 솔직후기를 포스팅해볼게요. 
crit,결론부터 말씀드리자면 음식도 잘 못먹고 너무 아쉬운 식사를 한 곳이랍니다..
neut,신도림 현대백화점 별관 4층에 위치해있어요.
neut,현백에 쇼핑하러 갔다가 점심시간이 되어 뭘 먹을지 고민하다가 오랜만에 멕시칸 음식을 먹으러 온더보더에 방문해봤어요.
comp,매장은 크고 테이블 간격도 널널해서 쾌적하고 괜찮았어요. 
neut,메뉴는 쉬림프&소시지 포슬레와 립아이 스테이크&쉬림프를 주문했어요.
neut,주문 후 기본으로 제공되는 나쵸와 살사소스인데 무제한으로 먹을 수 있다고 해요. 
neut,평범한 나쵸맛이었고 살사소스는 찐한맛은 없고 좀 짭조름했어요.
neut,먼저 쉬림프&소시지 포슬레 위에 뿌려진 고수.. 
crit,고수 못먹는데 위에 다져진 고수가 뿌려진거더라구요.
crit,설명에도 없었고 파슬리가 뿌려진건줄 알고 한입 먹고 깜짝 놀라서 바로 뱉었어요. 
crit,직원에게 얘기했더니 메뉴판사진에 보면 위에 뿌려진게 고수라는 황당한 답변을 받았어요..ㅎ
crit,고수를 최대한 덜어내고 먹어봤지만 이미 고수향이 다 스며들어 먹기 힘들어서 안에 있는 소세지랑 조그만 새우만 좀 건져먹고있는데 더 황당한건 다음에 일어난일이예요..ㅋㅋ
crit,일단 립아이 스테이크&쉬림프는 굽기를 미디움 레어로 요청드렸는데 웰던으로 먹는 것 같았고 좀 질겨서 이것도 먹다 좀 남겼네요.
neut,그리고 여기도 새우꼬치 위에도 고수가 뿌려져있었어요.. 
crit,처음 포슬레가 나왔을때 직원에게 고수얘기를 하고 10-15분정도 나중에 나온 음식인데 또 고수라니..
crit,한가한 시간이었고 손님이 많아서 정신이 없었던것도 아니었는데 좀 황당하더라구요. 
neut,또 얘기는 하진 않았어요.
crit,두 메뉴다 메뉴판 설명에 고수가 들어간다는 내용이 안나와있었고 사진만 보고 그게 파슬린지 고수인지 어떻게 알라는건지.. 
crit,여기에 스텔라 맥주한잔까지 해서 10만원이 넘는 저렴하지 않은 가격에 즐겁게 쇼핑하러와서 별로인 음식들을 먹으니 기분이 좋진 않았답니다.
comp,음식점에서 나와서 쇼핑을 마저 하다가 백화점 지하에 있는 커스텀커피에서 피스타치오 디카페인을 마셨는데 맛있고 괜찮더라구요!
neut,이렇게 오랜만에 신도림 현백에가서 쇼핑도 하고 음식은 별로였지만 맛있는 음료도 마시고 왔답니다.
crit,온더보더는 재방문은 하지 않을것같아요 - ㅎㅎ
neut,그럼 포스팅을 마무리할게요. 
neut,오늘도 방문해주셔서 감사해용